Season,Name,Team,,WAR,DOL,NameASCII,PlayerId,MLBAMID
2017,Giancarlo Stanton,MIA,,6.36822037,50.94576296,Giancarlo Stanton,4949,519317
2022,Francisco Lindor,NYM,,6.35407674,50.83261392,Francisco Lindor,12916,596019
2022,Yordan Alvarez,HOU,,6.347740596,50.78192477,Yordan Alvarez,19556,670541
2019,Ketel Marte,ARI,,6.334871668,50.67897335,Ketel Marte,13613,606466
2021,Vladimir Guerrero Jr.,TOR,,6.328074511,50.62459609,Vladimir Guerrero Jr.,19611,665489
2023,Corey Seager,TEX,,6.297109897,50.37687918,Corey Seager,13624,608369
2021,Carlos Correa,HOU,,6.294516016,50.35612813,Carlos Correa,14162,621043
2021,Bryan Reynolds,PIT,,6.287014869,50.29611896,Bryan Reynolds,19326,668804
2024,Ketel Marte,ARI,,6.275500463,50.2040037,Ketel Marte,13613,606466
2023,Marcus Semien,TEX,,6.26412296,50.11298368,Marcus Semien,12533,543760
2016,Adam Eaton,CHW,,6.247400591,49.97920473,Adam Eaton,11205,594809
2017,Joey Votto,CIN,,6.224571383,49.79657106,Joey Votto,4314,458015
2021,Brandon Crawford,SFG,,6.215501077,49.72400862,Brandon Crawford,5343,543063
2019,Nolan Arenado,COL,,6.125692274,49.00553819,Nolan Arenado,9777,571448
2016,Jean Segura,ARI,,6.124839754,48.99871804,Jean Segura,5933,516416
2022,Mookie Betts,LAD,,6.117596659,48.94077327,Mookie Betts,13611,605141
2022,Andrés Giménez,CLE,,6.116117115,48.92893692,Andres Gimenez,19950,665926
2015,Lorenzo Cain,KCR,,6.105629563,48.8450365,Lorenzo Cain,9077,456715
2019,George Springer,HOU,,6.100825201,48.80660161,George Springer,12856,543807
2015,Kris Bryant,CHC,,6.098145229,48.78516184,Kris Bryant,15429,592178
2019,Francisco Lindor,CLE,,6.064628844,48.51703075,Francisco Lindor,12916,596019
2017,Brian Dozier,MIN,,6.045755655,48.36604524,Brian Dozier,9810,572821
2019,Trevor Story,COL,,6.032969062,48.26375249,Trevor Story,12564,596115
2023,Juan Soto,SDP,,6.03017105,48.2413684,Juan Soto,20123,665742
2016,Nolan Arenado,COL,,6.028643219,48.22914575,Nolan Arenado,9777,571448
2018,Lorenzo Cain,MIL,,6.003954496,48.03163597,Lorenzo Cain,9077,456715
2021,Cedric Mullins,BAL,,5.991725706,47.93380565,Cedric Mullins,17929,656775
2022,Xander Bogaerts,BOS,,5.987661985,47.90129588,Xander Bogaerts,12161,593428
2019,Xander Bogaerts,BOS,,5.983286481,47.86629185,Xander Bogaerts,12161,593428
2022,José Ramírez,CLE,,5.967927911,47.74342329,Jose Ramirez,13510,608070
2021,Marcus Semien,TOR,,5.958715523,47.66972418,Marcus Semien,12533,543760
2015,Andrew McCutchen,PIT,,5.954165734,47.63332587,Andrew McCutchen,9847,457705
2016,Kyle Seager,SEA,,5.946817568,47.57454055,Kyle Seager,9785,572122
2018,Nolan Arenado,COL,,5.945339585,47.56271668,Nolan Arenado,9777,571448
2018,J.D. Martinez,BOS,,5.919712744,47.35770195,J.D. Martinez,6184,502110
2015,Francisco Cervelli,PIT,,5.912282735,47.29826188,Francisco Cervelli,5275,465041
2019,J.T. Realmuto,PHI,,5.911332007,47.29065605,J.T. Realmuto,11739,592663
2017,Anthony Rendon,WSN,,5.905907928,47.24726342,Anthony Rendon,12861,543685
2019,Mookie Betts,BOS,,5.905441854,47.24353483,Mookie Betts,13611,605141
2022,Austin Riley,ATL,,5.868127616,46.94502093,Austin Riley,18360,663586
2018,Javier Báez,CHC,,5.843579105,46.74863284,Javier Baez,12979,595879
2015,Yoenis Cespedes,- - -,,5.835319105,46.68255284,Yoenis Cespedes,13110,493316
2017,Tommy Pham,STL,,5.811671749,46.49337399,Tommy Pham,2967,502054
2017,Francisco Lindor,CLE,,5.802612824,46.42090259,Francisco Lindor,12916,596019
2023,Bobby Witt Jr.,KCR,,5.797584743,46.38067795,Bobby Witt Jr.,25764,677951
2018,Jose Altuve,HOU,,5.79454049,46.35632392,Jose Altuve,5417,514888
2022,Julio Rodríguez,SEA,,5.785867205,46.28693764,Julio Rodriguez,23697,677594
2023,Julio Rodríguez,SEA,,5.780271856,46.24217485,Julio Rodriguez,23697,677594
2017,Nolan Arenado,COL,,5.753522978,46.02818382,Nolan Arenado,9777,571448
2019,DJ LeMahieu,NYY,,5.749471353,45.99577082,DJ LeMahieu,9874,518934
2023,William Contreras,MIL,,5.74629314,45.97034512,William Contreras,20503,661388
2017,Marcell Ozuna,MIA,,5.73983918,45.91871344,Marcell Ozuna,10324,542303
2019,Yasmani Grandal,MIL,,5.735262878,45.88210302,Yasmani Grandal,11368,518735
2016,Manny Machado,BAL,,5.716591925,45.7327354,Manny Machado,11493,592518
2017,Justin Turner,LAD,,5.636542468,45.09233975,Justin Turner,5235,457759
2023,Adley Rutschman,BAL,,5.612973926,44.90379141,Adley Rutschman,26288,668939
2019,Javier Báez,CHC,,5.580812522,44.64650017,Javier Baez,12979,595879
2022,Jeff McNeil,NYM,,5.566819837,44.5345587,Jeff McNeil,15362,643446
2015,Jason Heyward,STL,,5.555247172,44.44197738,Jason Heyward,4940,518792
2023,Francisco Lindor,NYM,,5.529015448,44.23212358,Francisco Lindor,12916,596019
2019,Juan Soto,WSN,,5.521608145,44.17286516,Juan Soto,20123,665742
2018,Anthony Rendon,WSN,,5.485767125,43.886137,Anthony Rendon,12861,543685
2021,Aaron Judge,NYY,,5.473519288,43.7881543,Aaron Judge,15640,592450
2016,Jackie Bradley Jr.,BOS,,5.464382953,43.71506362,Jackie Bradley Jr.,12984,598265
2021,Nicky Lopez,KCR,,5.45797781,43.66382248,Nicky Lopez,19339,670032
2019,Matt Chapman,OAK,,5.456003576,43.64802861,Matt Chapman,16505,656305
2024,Matt Chapman,SFG,,5.446171657,43.56937326,Matt Chapman,16505,656305
2015,Chris Davis,BAL,,5.433366688,43.4669335,Chris Davis,9272,448801
2024,William Contreras,MIL,,5.415602883,43.32482307,William Contreras,20503,661388
2022,Brandon Nimmo,NYM,,5.414751382,43.31801106,Brandon Nimmo,12927,607043
2016,Ian Kinsler,DET,,5.408172517,43.26538014,Ian Kinsler,6195,435079
2024,Cal Raleigh,SEA,,5.406838091,43.25470473,Cal Raleigh,21534,663728
2022,Alex Bregman,HOU,,5.38904561,43.11236488,Alex Bregman,17678,608324
2017,Charlie Blackmon,COL,,5.369843748,42.95874998,Charlie Blackmon,7859,453568
2023,Corbin Carroll,ARI,,5.359283704,42.87426963,Corbin Carroll,25878,682998
2017,Paul Goldschmidt,ARI,,5.356553052,42.85242442,Paul Goldschmidt,9218,502671
2024,Vladimir Guerrero Jr.,TOR,,5.353724546,42.82979637,Vladimir Guerrero Jr.,19611,665489
2022,Tommy Edman,STL,,5.342280896,42.73824716,Tommy Edman,19470,669242
2015,Curtis Granderson,NYM,,5.332002578,42.65602062,Curtis Granderson,4747,434158
2016,Miguel Cabrera,DET,,5.323320983,42.58656787,Miguel Cabrera,1744,408234
2021,Tyler O'Neill,STL,,5.295236181,42.36188945,Tyler O'Neill,15711,641933
2015,Matt Carpenter,STL,,5.287457478,42.29965982,Matt Carpenter,8090,572761
2024,Jackson Merrill,SDP,,5.2831208,42.2649664,Jackson Merrill,29490,701538
2018,Yasmani Grandal,LAD,,5.273614339,42.18891471,Yasmani Grandal,11368,518735
2024,Yordan Alvarez,HOU,,5.261313568,42.09050855,Yordan Alvarez,19556,670541
2021,Jose Altuve,HOU,,5.249145159,41.99316127,Jose Altuve,5417,514888
2016,Christian Yelich,MIA,,5.247375971,41.97900777,Christian Yelich,11477,592885
2016,Corey Seager,LAD,,5.243721718,41.94977374,Corey Seager,13624,608369
2022,Sean Murphy,OAK,,5.239942003,41.91953602,Sean Murphy,19352,669221
2015,Anthony Rizzo,CHC,,5.221956109,41.77564887,Anthony Rizzo,3473,519203
2019,Josh Donaldson,ATL,,5.219371869,41.75497495,Josh Donaldson,5038,518626
2015,José Bautista,TOR,,5.211149213,41.6891937,Jose Bautista,1887,430832
2024,Bryce Harper,PHI,,5.20081228,41.60649824,Bryce Harper,11579,547180
2016,Francisco Lindor,CLE,,5.183513325,41.4681066,Francisco Lindor,12916,596019
2021,Starling Marte,- - -,,5.182061313,41.4564905,Starling Marte,9241,516782
2015,J.D. Martinez,DET,,5.176804128,41.41443303,J.D. Martinez,6184,502110
2019,Yoán Moncada,CHW,,5.167857953,41.34286362,Yoan Moncada,17232,660162
2016,Adrian Beltré,TEX,,5.15926455,41.2741164,Adrian Beltre,639,134181
2018,Trea Turner,WSN,,5.146549714,41.17239772,Trea Turner,16252,607208
2024,Brent Rooker,OAK,,5.134670526,41.07736421,Brent Rooker,19627,667670
2023,Austin Riley,ATL,,5.111077981,40.88862385,Austin Riley,18360,663586
2016,José Ramírez,CLE,,5.104714561,40.83771649,Jose Ramirez,13510,608070
2021,Austin Riley,ATL,,5.093233078,40.74586462,Austin Riley,18360,663586
2018,Jed Lowrie,OAK,,5.074533519,40.59626815,Jed Lowrie,4418,476704
2018,Brandon Nimmo,NYM,,5.038665674,40.30932539,Brandon Nimmo,12927,607043
2015,Nelson Cruz,SEA,,5.032417767,40.25934214,Nelson Cruz,2434,443558
2017,Corey Seager,LAD,,5.024508038,40.19606431,Corey Seager,13624,608369
2021,Shohei Ohtani,LAA,,5.020253073,40.16202458,Shohei Ohtani,19755,660271
2018,Mitch Haniger,SEA,,5.013747805,40.10998244,Mitch Haniger,14274,571745
2016,DJ LeMahieu,COL,,5.012615509,40.10092407,DJ LeMahieu,9874,518934
2022,Rafael Devers,BOS,,5.003487835,40.02790268,Rafael Devers,17350,646240
